Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
35533631,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.22,Del Rey,Kindle Edition,179,2007,1979,,2017/12/04,,,read,,,,1,,,0,,,,,
20562717,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""""","=""""",5,4.54,DAW,Kindle Edition,676,2007,2007,,2017/12/04,,,read,,,,1,,,0,,,,,
26019071,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""""","=""""",4,4.16,Orbit,Kindle Edition,544,2015,2006,2017/12/04,2017/11/14,,,read,,,,1,,,0,,,,,
28094574,It,Stephen King,"King, Stephen",,"=""""","=""""",5,4.23,Scribner,Kindle Edition,1169,2016,1986,,2017/12/04,,,read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",4,3.91,Scribner,Paperback,180,2004,1925,,2013/09/17,,,read,,,,1,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",5,4.30,TOR,Mass Market Paperback,324,1994,1985,,2013/09/17,,,read,,,,1,,,0,,,,,
5996629,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",0,4.16,Spectra,Kindle Edition,320,2004,1951,,2017/12/04,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.33,Scholastic Press,Hardcover,374,2008,2008,,2013/09/17,,,read,,,,1,,,0,,,,,
18337259,A Game of Thrones #1,Daniel Abraham,"Abraham, Daniel","George R.R. Martin, Tommy Patterson","=""""","=""9780345536150""",5,4.66,Bantam,ebook,32,2011,2011,,2017/11/14,,,read,,,,1,,,0,,,,,
2890090,"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,"Lynch, Scott",,"=""0553804693""","=""9780553804690""",4,4.23,Del Rey,Hardcover,650,2013,2013,,2017/11/14,,,read,,,,1,,,0,,,,,
19105890,The Lies of Locke Lamora / Red Seas Under Red Skies (Gentleman Bastard #1-2),Scott Lynch,"Lynch, Scott",,"=""""","=""""",3,4.45,Gollancz,Kindle Edition,,2013,2013,,2017/11/14,,,read,,,,1,,,0,,,,,
127455,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""0553804677""","=""9780553804676""",5,4.30,Bantam Spectra,Hardcover,499,2006,2006,,2017/11/14,,,read,,,,1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.40,Crown,Hardcover,369,2014,2012,,2017/11/14,,,read,,,,1,,,0,,,,,
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,4.11,William Morrow,Kindle Edition,635,2011,2001,,2017/11/14,,,read,,,,1,,,0,,,,,
25526965,"End of Watch (Bill Hodges Trilogy, #3)",Stephen King,"King, Stephen",,"=""1501129740""","=""9781501129742""",3,4.08,Scribner,Hardcover,432,2016,2016,,2017/11/14,,,read,,,,1,,,0,,,,,
23492589,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,"King, Stephen",,"=""1501100076""","=""9781501100079""",3,4.04,Scribner,Hardcover,434,2015,2015,,2017/11/14,,,read,,,,1,,,0,,,,,
18775247,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,"King, Stephen",,"=""1476754454""","=""9781476754451""",5,3.95,Scribner,Hardcover,437,2014,2014,,2017/11/14,,,read,,,,1,,,0,,,,,
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,"=""0060510862""","=""9780060510862""",5,4.15,Voyager,Paperback,278,2003,1974,,2017/11/14,,,read,,,,1,,,0,,,,,
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",5,3.99,William Morrow,Kindle Edition,880,2015,2015,,2017/11/14,,,read,,,,1,,,0,,,,,
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,"=""""","=""""",3,3.91,Quirk,Hardcover,352,2011,2011,,2017/11/14,,,read,,,,1,,,0,,,,,
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",5,4.10,Crown,Hardcover,342,2016,2016,,2017/11/14,,,read,,,,1,,,0,,,,,
17571466,The Troop,Nick Cutter,"Cutter, Nick",,"=""1476717710""","=""9781476717715""",3,3.74,Gallery Books,Hardcover,358,2014,2014,,2017/11/14,,,read,,,,1,,,0,,,,,
18302455,The Circle,Dave Eggers,"Eggers, Dave",,"=""0385351399""","=""9780385351393""",4,3.43,Knopf,Hardcover,493,2013,2013,,2017/11/14,,,read,,,,1,,,0,,,,,
19486412,Big Little Lies,Liane Moriarty,"Moriarty, Liane",,"=""0399167064""","=""9780399167065""",4,4.26,Berkley,Hardcover,460,2014,2014,,2017/11/14,,,read,,,,1,,,0,,,,,
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",4,4.28,Crown Publishers,Hardcover,374,2011,2011,,2017/11/14,,,read,,,,1,,,0,,,,,
2118745,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"Ness, Patrick",,"=""1406310255""","=""9781406310252""",2,3.97,Walker,Hardcover,479,2008,2008,,2017/11/14,,,read,,,,1,,,0,,,,,
