Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
451408cc-0ac5-447f-a038-e676032b3909,2018-09-18 18:08:39,Running,,3.00,27:50,9:17,6.47,449.0,0,,"","13.1 training, Week 22 Day 3. 3mi jog on treadmill.",
e79b9dcf-0aa7-4860-84d8-e0cb661dcdcc,2018-09-17 06:24:43,Running,,3.11,31:34,10:09,5.91,474.0,139,,"","13.1 training, Week 22 Day 2. 3mi jog.",2018-09-17-062443.gpx
f2d9be41-fe7d-4a25-a658-99ea69cf368d,2018-09-15 07:41:33,Running,,3.00,29:51,9:57,6.03,468.0,137,,"","13.1 training, Week 21 Day 7. 3mi jog.",2018-09-15-074133.gpx
1590a113-9df2-4f5c-af3d-620fb177d40f,2018-09-13 18:15:10,Running,,3.00,29:30,9:50,6.10,460.0,0,,"","13.1 training, Week 21 Day 5. 3mi jog, treadmill.",
e0add07f-1243-4957-800d-48b4609586ba,2018-09-11 17:49:53,Running,,6.51,1:06:27,10:12,5.88,1007.0,284,,"","13.1 training, Week 21 Day 3. 6.5mi jog",2018-09-11-174953.gpx
858d105e-3c4b-4dd3-9081-1d6b4e0ba5b5,2018-09-10 05:13:11,Running,,4.51,46:11,10:15,5.86,690.0,182,,"","13.1 training, Week 21 Day 2. 4.5mi jog, with",2018-09-10-051311.gpx
000d7e20-e27b-4182-abce-ef4d871efaf2,2018-09-08 16:10:40,Running,,4.52,45:24,10:03,5.97,712.0,202,,"","13.1 training, Week 20 Day 7. 4.5mi jog in the rain",2018-09-08-161040.gpx
d4892707-3e03-4b11-8471-796608dc5f87,2018-09-07 18:26:04,Running,,4.51,46:26,10:18,5.82,690.0,212,,"","13.1 training, Week 20 Day 6. 4.5mi jog in the rain",2018-09-07-182604.gpx
025b208d-e938-448e-a3c3-8969b06f30b4,2018-09-06 06:40:07,Running,,2.01,23:19,11:34,5.18,307.0,81,,"","13.1 training, Week 20 Day 5. 2mi jog.",2018-09-06-064007.gpx
c43b35b9-d5e6-4fbd-bf58-48e04a449746,2018-09-05 18:00:12,Running,,3.00,31:00,10:20,5.81,464.0,0,,"","13.1 training, Week 20 Day 4. 3mi treadmill run.",
877dbab0-4c5e-4ada-9ebd-44f2380f2c61,2018-08-30 18:11:05,Running,,3.00,28:00,9:20,6.43,458.0,0,,"","13.1 training, Week 19 Day 5. 3mi run. Treadmill.",
5ca6ac7a-4b58-4db0-b169-4ff7d4d9e081,2018-08-27 18:43:54,Running,,4.51,42:09,9:21,6.42,714.0,214,,"","13.1 training, Week 19 Day 2. 4.5mi speed run.",2018-08-27-184354.gpx
18b0a4b6-85e0-45ae-89e3-2c8d381d7f6b,2018-08-25 07:30:00,Running,,4.52,44:01,9:44,6.16,697.0,207,,"","13.1 training, Week 18 Day 7. 4.5mi speed run.",2018-08-25-073000.gpx
ad45bc24-331d-4421-91be-ea9bb36b6230,2018-08-22 06:29:18,Running,,3.02,31:02,10:16,5.84,465.0,125,,"","13.1 training, Week 18 Day 4. 3mi run.",2018-08-22-062918.gpx
4fbbfa72-b20d-494c-a291-1273a76a0db4,2018-08-20 18:00:24,Running,,6.50,1:10:00,10:46,5.57,1009.0,0,,"","Treadmill",
ff6dc6f3-e272-459f-98e8-be4809afe07a,2018-08-18 07:43:47,Running,,4.51,47:17,10:29,5.72,698.0,218,,"","13.1 training, Week 17 Day 7. 4.5mi run.",2018-08-18-074347.gpx
4830ac75-56ab-403d-bf04-02c7e244b15b,2018-08-17 18:50:26,Running,,4.51,45:38,10:07,5.93,698.0,203,,"","13.1 training, Week 17 Day 6. 4.5mi run.",2018-08-17-185026.gpx
c95e6168-4a45-477f-895a-8d8d2e39e095,2018-08-16 17:44:50,Running,,3.01,30:38,10:11,5.89,473.0,132,,"","13.1 training, Week 17 Day 5. 3mi run.",2018-08-16-174450.gpx
09c87c20-c934-426d-b70a-b518871afc52,2018-08-13 06:19:24,Running,,5.33,58:51,11:02,5.44,818.0,239,,"","13.1 training, Week 16 Day 7. 4.5mi run.",2018-08-13-061924.gpx
9741e802-6892-4b3c-bb93-97d95a132d73,2018-08-11 07:23:28,Running,,4.52,47:57,10:37,5.65,699.0,181,,"","13.1 training, Week 16 Day 7. 4.5mi run.",2018-08-11-072328.gpx
5fec42aa-cc90-4631-a702-bf0f852e5b3d,2018-08-09 17:30:17,Running,,4.50,48:00,10:40,5.62,706.0,0,,"","Treadmill",
4f0febd0-0c49-4b46-9f90-1caaad8b2d93,2018-08-06 18:14:07,Running,,3.03,31:30,10:25,5.76,466.0,134,,"","13.1 training, Week 16 Day 2. 3mi run. First after foot injury",2018-08-06-181407.gpx
d4e6eafc-3538-4c70-9a12-89696c35a982,2018-07-23 17:57:41,Running,,8.50,1:31:29,10:46,5.58,1281.0,365,,"","13.1 training, Week 14 Day 2. 8.5mi run around Forest Park.",2018-07-23-175741.gpx
83d9114e-8c46-4cd3-9def-1a27536d5b39,2018-07-17 05:54:44,Running,,6.51,1:08:25,10:31,5.71,1005.0,290,,"","13.1 training, Week 13 Day 3. 6.5mi run",2018-07-17-055444.gpx
f2c2fde5-f5af-460b-8dc8-d75005920742,2018-07-12 06:32:28,Running,,3.09,31:00,10:01,5.99,465.0,138,,"","13.1 training, Week 12 Day 5. 3mi run.",2018-07-12-063228.gpx
0b8681e6-cb1b-48c1-92e3-ea59926dac17,2018-07-09 18:08:08,Running,,6.53,1:05:00,9:58,6.02,990.0,304,,"","13.1 training, Week 12 Day 2. 6.5mi run. Pushing for speed.",2018-07-09-180808.gpx
26b0f03e-827a-4001-895b-79cd6ba4cf7b,2018-07-07 08:41:53,Running,,3.12,28:21,9:06,6.60,488.0,144,,"","13.1 training, Week 11 Day 7. 5ki run. Pushing for speed.",2018-07-07-084153.gpx
252153bd-440f-4d47-a33b-def01ef04080,2018-07-06 06:06:47,Running,,4.54,48:05,10:35,5.66,688.0,205,,"","13.1 training, Week 11 Day 6. 4.5mi run.",2018-07-06-060647.gpx
979cf290-1393-4350-bda1-ec99b4797b66,2018-07-02 08:18:19,Running,,8.51,1:34:05,11:03,5.43,1293.0,296,,"","13.1 training, Week 11 Day 2. 8.5mi run. Campground in northern Iowa, jogging through a lakeside community.",2018-07-02-081819.gpx
c3c2db84-9e14-413e-8134-f12817096698,2018-06-27 06:08:17,Running,,3.03,32:29,10:44,5.59,460.0,135,,"","13.1 training, Week 10 Day 4. 3mi run.",2018-06-27-060817.gpx
5f32d61d-6202-41b7-8ae2-11dbd9cc2a5b,2018-06-25 17:49:18,Running,,8.53,1:34:14,11:03,5.43,1289.0,344,,"","13.1 training, Week 10 Day 2. 8.5mi run.",2018-06-25-174918.gpx
6ed77644-19cc-44b5-97a8-a80b16861930,2018-06-24 08:31:14,Running,,4.52,45:19,10:01,5.99,707.0,204,,"","",2018-06-24-083114.gpx
09b3f393-8c2f-492f-b890-305276a7df2c,2018-06-22 06:05:18,Running,,4.52,47:18,10:27,5.74,690.0,202,,"","",2018-06-22-060518.gpx
b5bf021d-be73-47c7-aea8-ad5521ff9e02,2018-06-20 06:35:41,Running,,3.11,32:32,10:28,5.73,473.0,135,,"","",2018-06-20-063541.gpx
1cca3ac4-e101-464d-af47-34b68e616347,2018-06-18 06:39:42,Running,,6.52,1:08:58,10:35,5.67,1000.0,102,,"","",2018-06-18-063942.gpx
033df126-38f4-482d-8697-060815d81a50,2018-06-16 07:16:32,Running,,3.12,33:11,10:37,5.65,476.0,26,,"","",2018-06-16-071632.gpx
23de68b8-b2a4-4179-b1b5-d15dbd5bb8cf,2018-06-15 06:09:11,Running,,4.52,48:42,10:46,5.57,657.0,200,,"","",2018-06-15-060911.gpx
39e5d1b1-c107-4501-b165-61016f8bfb1a,2018-06-13 06:21:34,Running,,3.12,33:40,10:48,5.56,448.0,144,,"","",2018-06-13-062134.gpx
db17533d-5665-40b9-8908-057949f67b28,2018-06-12 18:39:22,Running,,3.17,30:02,9:28,6.34,492.0,132,,"","",2018-06-12-183922.gpx
