eventID,AfterInhMATRIX5,PrescaleMATRIX5,RawMATRIX4,RawTriggers,label
435686,77114,32,3373570,12966424,1
435689,81205,33,3793008,13917673,3
435690,80994,34,3784105,13940473,3
435691,85859,35,3606851,14216622,3
435692,53330,22,2805155,12373498,4
435693,71343,30,3547057,13515519,5
435694,67766,28,3315968,13380764,6
435695,68322,28,3301131,13312574,7
435696,66817,28,3179172,13218287,6
435697,53609,22,2866001,12528846,4
435698,86658,36,3668782,14313598,3
435699,84158,35,3672332,14183617,3
435700,51867,21,2831942,12213285,2
435701,63262,26,3304135,12980948,1
435702,60070,25,3573655,12770498,1
435703,64428,27,3285997,13009647,1
435704,62150,25,3537425,13024350,1
435705,62619,26,3301286,12810594,1
435707,65567,27,3313595,13228513,1
435708,56935,24,3600210,12513642,1
435709,58518,24,3578890,12671669,1
435710,57996,24,3635956,12688445,1
435711,46667,20,2955120,11660699,2
435714,81574,33,3581824,13718911,3
435715,51073,21,2543557,11693062,4
435716,68830,29,3401147,13117136,5
435717,64735,27,3311519,13061370,6
435718,68534,28,3332070,13410769,7
435719,66960,28,3241387,13153073,6
435720,52154,21,2903250,12314779,4
435721,80000,33,3726898,13697228,3
435722,83090,35,3600696,13842393,3
435723,51566,21,2707029,11924597,2
435724,67674,28,3217351,13244744,1
435725,65858,27,3330726,13078338,1
435726,69688,29,3191640,13421073,1
435727,65552,27,3329314,13097832,1
435728,68666,29,3205955,13298327,1
435729,69891,29,3233763,13400609,1
435730,70088,29,3085833,13337566,1
435731,68355,28,3198559,13173939,1
435732,67037,28,3325411,13231764,1
435735,80688,33,3651614,13819633,3
435736,77693,32,3764015,13527188,3
435737,78036,32,3736604,13546127,3
435738,51393,22,2852795,12094138,4
435739,65968,27,3634031,13065005,5
435740,63002,26,3354544,12840662,6
435741,58791,24,3454142,12307550,7
435742,57041,24,3434958,12393800,6
435743,48636,20,2912675,11864996,4
435744,75721,31,3634485,13223960,3
435745,75248,32,3733683,13338408,3
435746,50750,21,3036162,12245476,2
435747,61931,25,3424393,12781585,1
435748,61553,26,3410108,12735316,1
435749,65686,27,3196959,12946859,1
435750,68811,28,3054419,13069371,1
435751,64167,27,3171762,12899376,1
435752,68140,28,3140823,13160859,1
435753,62171,26,3305475,12775067,1
435754,66565,27,3170947,13036338,1
435756,64280,27,3279241,12807361,1
435757,47498,19,2900240,11686162,2
435758,73747,31,3952682,13313736,3
435759,75097,31,3746685,13245533,3
435761,45774,19,3132995,11766741,4
435762,69394,29,3484482,13146330,5
435763,66158,27,3204655,12953855,6
435764,67286,28,3298913,13101003,7
435765,65859,27,3162647,12951545,6
435766,52172,22,2755612,12057065,4
435768,77812,32,3739557,13577285,3
435769,47938,20,3001384,11693431,2
435770,59199,24,3446999,12555339,1
435771,63713,26,3286312,12871314,1
435772,61367,26,3295548,12546832,1
435773,62536,26,3295519,12748205,1
435774,59404,24,3418692,12466112,1
435775,56575,24,3514542,12320913,1
435776,57646,24,3388952,12331955,1
435777,58508,24,3368994,12286054,1
435778,59430,24,3377497,12367921,1
435779,65895,28,3116013,12796552,1
435780,48839,20,2972125,11858169,2
435781,79551,33,3663823,13652018,3
435784,50343,20,2841408,11901055,4
435785,67871,28,3519411,13037703,5
435786,57855,24,3374253,12243378,6
435787,63203,26,3442794,12758803,7
435788,61687,26,3571170,12872156,6
435789,48463,20,3089667,11930022,4
435790,82086,34,3781949,13987392,3
435791,80648,33,3879424,13991841,3
435792,51395,22,3021305,12323911,2
435793,62310,25,3461787,12966884,1
435794,62487,26,3476879,12817396,1
435795,64759,27,3365579,13076604,1
435796,64652,27,3381235,13018939,1
435797,51110,21,3817830,11906809,1
435798,56493,23,3687166,12471700,1
435799,52469,22,3595675,11900751,1
435800,59428,25,3438594,12516581,1
435801,59058,24,3316244,12411744,1
435802,56972,24,3204195,12006999,1
435803,45962,19,2717468,11131779,2
435804,72558,30,3178599,12493653,3
435805,69356,28,3353519,12379256,3
435806,72970,30,3059521,12423743,3
435807,44201,19,2580317,10859346,4
435808,54687,22,3235134,11379400,5
435809,55336,23,3006261,11683932,6
435810,53447,22,2937918,11327780,7
435811,57227,24,2835599,11773161,6
435812,47094,19,2257914,10924160,4
435813,74904,31,3078245,12735508,3
435814,75817,32,2968335,12644942,3
435815,47774,20,2497357,11234398,2
435816,61114,25,2673591,11947520,1
435817,51771,21,3048565,11362261,1
435818,55989,23,2988902,11700832,1
435819,52014,22,2972245,11302046,1
435820,57494,24,2918874,11894727,1
435821,59261,24,2789100,11956050,1
435822,57229,24,3017426,11889989,1
435823,59864,25,2743432,11944598,1
435824,62106,25,2812743,12277927,1
435825,56769,24,3112226,11958754,1
435826,44036,18,2583384,10902787,2
435827,67860,28,3594182,12523727,3
435831,62518,25,3085772,12191914,5
435832,58937,25,2839062,11913337,6
435833,57555,24,2901090,11699352,7
435834,60331,24,2747773,11939155,6
435835,47463,20,2325157,11131238,4
435836,76762,32,3113597,12830557,3
435837,73499,30,3075090,12548566,3
435838,50367,21,2411447,11488382,2
435839,57835,24,2912011,11846761,1
435840,58688,24,3020403,12157091,1
435841,60755,25,2982663,12240163,1
435842,55809,23,2952657,11669662,1
435843,59845,25,2859248,11910093,1
435844,60797,25,2984799,12300227,1
435845,59197,25,3020428,12113514,1
435846,61414,25,2872923,12141789,1
435847,57371,24,2835114,11692248,1
435848,55600,23,3020780,11842921,1
435849,44587,18,2609089,10967740,2
435850,72858,31,3271970,12724539,3
435851,71603,29,3350004,12658799,3
435852,72107,30,3314811,12677899,3
435853,46267,19,2615402,11278014,4
435854,61129,25,3202710,12162388,5
435855,59186,25,3030375,12204465,6
435856,56652,23,3231999,12028021,7
435857,52767,22,2734494,11076415,6
435858,44801,19,2745599,11188799,4
435859,75400,31,3218597,12837909,3
435860,65002,27,3025726,11641715,3
435861,42901,18,2506994,10596430,2
435862,59066,24,3160654,12314510,1
435863,55130,23,3092092,11606674,1
435864,56629,23,3216144,12019855,1
435865,57526,24,3475560,12542656,1
435866,48871,20,3589388,11481817,1
435867,56916,24,3240720,12119803,1
435868,57111,23,3240047,12166599,1
435869,55646,24,3324764,12042053,1
435870,59621,24,3207164,12313965,1
435871,59451,25,3266120,12508331,1
435872,48543,20,2719261,11635328,2
435873,79731,33,3789017,13781380,3
435874,79051,33,3766939,13802071,3
435875,76014,31,3808830,13588384,3
435878,55313,22,3398479,12136944,6
435879,61242,26,3203405,12377432,7
435880,56939,23,3256365,12197124,6
435881,48567,20,2762363,11674513,4
435882,78953,33,3497539,13462201,3
435883,78663,33,3360899,13219444,3
435884,50631,21,2580324,11741175,2
435885,64382,26,3063405,12801671,1
435886,62259,26,3161220,12676972,1
435887,60580,25,3098318,12297782,1
435888,62134,26,2622982,11957259,1
435889,60871,25,2808392,12002893,1
435890,63143,26,2909085,12426126,1
435891,61057,25,2802789,11981774,1
